asset_id,asset_name,asset_type,program_name,state,lga,community,developer,owner_operator,technology,status,capacity_kw,customers_served,financing_source,latitude,longitude,geocode_precision,coordinate_source,source_name,source_url,source_date_accessed,evidence_level,record_origin,notes,distributed_energy_class,classification_basis,classification_confidence
se4all-mg-56,Esham,mini_grid,,Cross River,Ogoja,Esham,,,solar,commissioned,18.0,,,6.4438755,8.6882438,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-32,Umon Island,mini_grid,EU; NESP,Cross River,Biase,Umon Island,Community Research & Development Centre,Community Research & Development Centre,solar,operational,50.0,65.0,,5.3194098,8.0822864,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-eep-fupre,Federal University of Petroleum Resources Effurun solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Delta,Uvwie,Ugbomro campus,Rural Electrification Agency,Federal University of Petroleum Resources Effurun,solar_hybrid,commissioned,1100.0,,Federal Government of Nigeria,5.5625,5.78,campus,Public university coordinate; facility position within campus not identified,REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,REA lists 1.1 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
rea-eep-funai,Alex Ekwueme Federal University Ndufu-Alike solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Ebonyi,Ikwo,Ndufu-Alike campus,Rural Electrification Agency,Alex Ekwueme Federal University Ndufu-Alike,solar_hybrid,commissioned,2800.0,,Federal Government of Nigeria,6.131894,8.143583,campus,OpenStreetMap university centroid; facility position within campus not identified,REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,REA lists 2.8 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
se4all-mg-55,Eka Awoke,mini_grid,REA;REF,Ebonyi,Ikwo,Eka Awoke,Cloud Energy,Cloud Energy,hybrid_mini_grid,operational,100.0,855.0,Debt; Equity;Grant,6.0724852,8.1411001,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-20,Orie Obeagu Isu,mini_grid,REA;REF,Ebonyi,Obeagu Isu,Orie Obeagu Isu,Zylab Technologies Nigeria Limited,Zylab Technologies Nigeria Limited,hybrid_mini_grid,under_construction,66.0,100.0,Debt;Equity; Grant,6.2570739,7.7625652,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-34,Umuntumuna Obeagu Isu,mini_grid,,Ebonyi,Obeagu Isu,Umuntumuna Obeagu Isu,,,hybrid_mini_grid,under_construction,33.0,,,6.2589034,7.7691776,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-40,Adebayo,mini_grid,REA,Edo,Ovia South West,Adebayo,ACOB,ACOB,hybrid_mini_grid,under_construction,100.0,,Debt; Equity;Grant,6.40228,5.10888,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-10,Obayantor,mini_grid,,Edo,,Obayantor,,,solar,operational,24.0,,,6.1684867,5.5614344,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-12,"Ogbekpen, Ikpoba",mini_grid,BoI;UNDP,Edo,Okha,"Ogbekpen, Ikpoba",,,solar,operational,24.0,,,6.3501608,5.6502417,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-37,Uniarho,mini_grid,ECREEE,Edo, Ovia North - East,Uniarho,,,solar,operational,2.0,19.0,,6.642572,5.9546588,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-45,Ayaba,mini_grid,BoI;UNDP;GVE,Gombe,Biliri,Ayaba,GVE,GVE,solar,operational,18.0,250.0,Equity; Grant,9.8046459,11.0391559,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-2,Kolaku,mini_grid,BoI;UNDP;GVE,Gombe,Balanga,Kolaku,GVE,GVE,solar,operational,47.0,350.0,Equity;Grant,10.0391303,11.7793072,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-3,Kolwa,mini_grid,BoI;UNDP;IEEE,Gombe,Kaltungo,Kolwa,GVE,GVE,solar,operational,38.0,200.0,Debt; Grant,9.7048146,11.5422586,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-41,Ahoto,mini_grid,US NGO Solar Electric Light Fund -SELF,Jigawa,Buji,Ahoto,Electric Light Fund-SELF,Electric Light Fund-SELF,solar,operational,,,,11.6386336,9.793645,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-49,Charwa/Chakun,mini_grid,BoI;UNDP,Kaduna,Markafi,Charwa/Chakun,Anergy Solar,Anergy Solar,solar,operational,24.0,,,11.374723,7.8814737,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-damau-2026,Damau Village solar mini-grid,mini_grid,REA Federal Capital Project,Kaduna,Kubau,Damau,Rural Electrification Agency,,solar,operational,100.0,2500.0,Federal Government of Nigeria,10.900332,8.43514,community,OpenStreetMap Damau community centroid,REA delivers 100 kWp mini-grid in Damau Village,https://rea.gov.ng/news/REA-Delivers-100kWp-Mini-Grid-in-Damau-Village/REA-Delivers-100kWp-Mini-Grid.html,2026-07-24,official_operational,official_supplement,"Commissioned January 2026; source says the system was already powering households, businesses, public infrastructure and a borehole. The 2,500 figure is residents impacted, stored in customers_served only as a broad beneficiary count.",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-60,Gnami,mini_grid,Huawei,Kaduna,Kagarko,Gnami,Managed by the community,Managed by the community,solar,operational,40.0,100.0,,9.3708639,7.3681596,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-7,Makami,mini_grid,ECREE,Kaduna,Kauru,Makami,ACOB,ACOB,hybrid_mini_grid,under_construction,50.0,320.0,,10.5872319,8.0642894,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
ecreee-buk-2024,Bayero University Chemical and Petroleum Engineering off-grid solar facility,off_grid_solar,ECOWAS Special Intervention Fund,Kano,Ungogo,New Campus Department of Chemical and Petroleum Engineering,ECREEE,Bayero University Kano,solar_battery,commissioned,79.0,,ECOWAS Special Intervention Fund,11.970334,8.426972,campus,OpenStreetMap university centroid; department installation position not identified,ECREEE inauguration of Bayero University solar PV installation,https://www.ecreee.org/inauguration-solar-photovoltaic-installation-at-the-bayero-university/,2026-07-24,official_commissioned,official_supplement,Separate 79 kWp PV / 58 kW inverter / 60 kWh battery installation inaugurated 31 May 2024.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
rea-eep-buk,Bayero University Kano EEP solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Kano,Ungogo,New Campus,Rural Electrification Agency,Bayero University Kano,solar_hybrid,under_rehabilitation,6000.0,,Federal Government of Nigeria,11.970334,8.426972,campus,OpenStreetMap university centroid; facility position within campus not identified,Bayero University Kano solar upgrade announcement,https://buk.edu.ng/node/808,2026-07-24,official_current_status,official_supplement,"Commissioned as a 7.1 MW EEP project in 2019. BUK reported in November 2025 that the existing 3.5 MW infrastructure had gone down and a rehabilitation/upgrade to 6 MW had commenced; 6 MW is the upgrade target, not verified operating capacity.",captive_institutional_off_grid,deterministic_asset_type_mapping,high
se4all-mg-46,Bambami,mini_grid,REA-REF,Katsina,Batagarawa,Bambami,IBK Services Limited,IBK Services Limited,solar,under_construction,30.0,300.0,Equity; Grant,12.9138549,7.5613157,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-64,Kindigi,mini_grid,,Katsina,Mashi,Kindigi,,,solar,operational,16.0,,,13.2138596,8.0219986,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-0,Kare,mini_grid,REA;REF,Kebbi,Arewa,Kare,Nayo Tropical Technologies Limited,Nayo Tropical Technologies Limited,hybrid_mini_grid,operational,100.0,535.0,Equity; Grant,12.8986666,4.062016,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-9,Obangede,mini_grid,REA;REF,Kogi,Ajaokuta,Obangede,New Moon Nigeria Limited,New Moon Nigeria Limited,hybrid_mini_grid,operational,80.0,60.0,Debt; Equity;Grant,7.4663542,6.6952488,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-38,Upake,mini_grid,REA;REF,Kogi,Ajaokuta,Upake,New Moon Nigeria Limited,New Moon Nigeria Limited,hybrid_mini_grid,operational,80.0,60.0,Debt; Equity; Grant,7.3045022,6.6231964,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-offa-2026,Offa solar-hybrid mini-grid,mini_grid,REA distributed renewable energy programme,Kwara,Offa,Offa,Rural Electrification Agency,,solar_hybrid,commissioned,704.0,3000.0,Public programme,8.156001,4.722744,community,OpenStreetMap Offa town centroid,REA Epe mini-grid commissioning release,https://rea.gov.ng/news/REA-505kWp-MINI-GRID-COMMISIONING.html,2026-07-24,official_commissioned,official_supplement,"REA's June 2026 release describes a recently commissioned 704 kW system in Offa serving over 3,000 customers. Coordinate is the Offa town centroid, not a verified plant parcel.",community_mini_grid,deterministic_asset_type_mapping,high
rea-epe-2026,Eredo-Epe interconnected solar mini-grid,interconnected_mini_grid,REF Interconnected Mini-Grid Acceleration Scheme,Lagos,Epe,Odogbawojo; Odoshiwola; Odoayan; Ora; Ibowon,A4&T Power Solutions Limited,A4&T Power Solutions Limited / electricity distribution partner,solar_hybrid,commissioned,505.0,,European Union; German Government; GIZ/NESP,6.642357,3.989839,community,OpenStreetMap Eredo community centroid,REA commissions 505 kWp interconnected solar mini-grid in Epe,https://rea.gov.ng/news/REA-505kWp-MINI-GRID-COMMISIONING.html,2026-07-24,official_commissioned,official_supplement,"Commissioned 24 June 2026 to serve five communities. Coordinate represents Eredo community, not a verified plant parcel.",interconnected_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-24,Ruguwa,mini_grid,UNDP GEF Energy Efficiency Programme,Nasarawa,Karu,Ruguwa,,,solar,operational,4.0,,,8.8358709,7.7222899,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-47,Bisanti,mini_grid,BoI;UNDP;IEEE,Niger,Katcha,Bisanti,GVE,GVE,solar,operational,38.0,350.0,Debt;Grant,9.3287541,6.2125327,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-62,Goton Sarki,mini_grid,REF;REA,Niger,Paico,Goton Sarki,AY Global,AY Global,solar,operational,40.0,,Equity; Grant,9.6634187,7.2398283,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-23,Rokota,mini_grid,REA-NEP-WB,Niger,Edati,Rokota,PowerGen Renewable Energy Nigeria Limited,PowerGen Renewable Energy Nigeria Limited,hybrid_mini_grid,operational,64.0,326.0,Debt; Equity; Grant,9.0841238,5.4422846,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-27,Swasun,mini_grid,BoI;UNDP;GVE,Niger,Katcha,Swasun,GVE,GVE,solar,operational,41.0,240.0,Equity;Grant,9.3545332,6.207178,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-30,Tunga Jika,mini_grid,EU;NESP,Niger,Magama,Tunga Jika,Nayo Tropical Technologies,Nayo Tropical Technologies,solar,operational,100.0,202.0,,10.0221019,4.7691346,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-59,Gbamu Gbamu,mini_grid,Rubitec;GIZ;Bettervest,Ogun,Ijebu East Central,Gbamu Gbamu,Rubitec Solar,Rubitec Solar,hybrid_mini_grid,operational,85.0,,Debt;Equity; Grant,6.8475413,4.2126168,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
